GeneName	GeneID	Description
KIR3DL2	ENSG00000278442	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 2(KIR3DL2)
KIR3DL2	ENSG00000278474	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 2(KIR3DL2)
KIR3DL2	ENSG00000278656	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 2(KIR3DL2)
KIR3DL2	ENSG00000278707	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 2(KIR3DL2)
KIR3DL2	ENSG00000278710	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 2(KIR3DL2)
KIR3DL2	ENSG00000278726	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 2(KIR3DL2)
KIR3DL2	ENSG00000278758	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 2(KIR3DL2)
KIR3DL2	ENSG00000278809	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 2(KIR3DL2)
KIR3DL2	ENSG00000278850	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 2(KIR3DL2)
KIR3DL2	ENSG00000283951	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 2(KIR3DL2)
KIR3DL2	ENSG00000283975	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 2(KIR3DL2)
KIR3DL2	ENSG00000284046	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 2(KIR3DL2)
KIR3DL2	ENSG00000284053	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 2(KIR3DL2)
KIR3DL2	ENSG00000284063	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 2(KIR3DL2)
KIR3DL2	ENSG00000284101	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 2(KIR3DL2)
KIR3DL2	ENSG00000284192	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 2(KIR3DL2)
KIR3DL2	ENSG00000284213	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 2(KIR3DL2)
KIR3DL2	ENSG00000284295	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 2(KIR3DL2)
KIR3DL2	ENSG00000284381	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 2(KIR3DL2)
KIR3DL2	ENSG00000284384	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 2(KIR3DL2)
KIR3DL2	ENSG00000284466	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 2(KIR3DL2)
KIR3DL2	ENSG00000284528	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 2(KIR3DL2)
KIR3DL2	ENSG00000288389	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 2(KIR3DL2)
KIRREL3	ENSG00000149571	kirre like nephrin family adhesion molecule 3(KIRREL3)
KLF5	ENSG00000102554	KLF transcription factor 5(KLF5)
KLF9	ENSG00000119138	KLF transcription factor 9(KLF9)
KLF10	ENSG00000155090	KLF transcription factor 10(KLF10)
KLF11	ENSG00000172059	KLF transcription factor 11(KLF11)
KLF12	ENSG00000118922	KLF transcription factor 12(KLF12)
KLHDC8B	ENSG00000185909	kelch domain containing 8B(KLHDC8B)
KLHL3	ENSG00000146021	kelch like family member 3(KLHL3)
KLHL20	ENSG00000076321	kelch like family member 20(KLHL20)
KLHL29	ENSG00000119771	kelch like family member 29(KLHL29)
KLHL34	ENSG00000185915	kelch like family member 34(KLHL34)
KLK4	ENSG00000167749	kallikrein related peptidase 4(KLK4)
KMT2A	ENSG00000118058	lysine methyltransferase 2A(KMT2A)
KMT2D	ENSG00000167548	lysine methyltransferase 2D(KMT2D)
KPNA1	ENSG00000114030	karyopherin subunit alpha 1(KPNA1)
KPNA5	ENSG00000196911	karyopherin subunit alpha 5(KPNA5)
KREMEN1	ENSG00000183762	kringle containing transmembrane protein 1(KREMEN1)
KRR1	ENSG00000111615	KRR1 small subunit processome component homolog(KRR1)
KRT18P16	ENSG00000235275	keratin 18 pseudogene 16(KRT18P16)
KRT19P6	ENSG00000249891	keratin 19 pseudogene 6(KRT19P6)
KRT23	ENSG00000108244	keratin 23(KRT23)
KRT23	ENSG00000263309	keratin 23(KRT23)
KRT32	ENSG00000108759	keratin 32(KRT32)
KSR2	ENSG00000171435	kinase suppressor of ras 2(KSR2)
L3MBTL1	ENSG00000185513	L3MBTL histone methyl-lysine binding protein 1(L3MBTL1)
L3MBTL1	ENSG00000288000	L3MBTL histone methyl-lysine binding protein 1(L3MBTL1)
LAMA2	ENSG00000196569	laminin subunit alpha 2(LAMA2)
LAMC2	ENSG00000058085	laminin subunit gamma 2(LAMC2)
LAMP2	ENSG00000005893	lysosomal associated membrane protein 2(LAMP2)
LANCL3	ENSG00000147036	LanC like family member 3(LANCL3)
LARP4	ENSG00000161813	La ribonucleoprotein 4(LARP4)
LARP4B	ENSG00000107929	La ribonucleoprotein 4B(LARP4B)
LAT2	ENSG00000086730	linker for activation of T cells family member 2(LAT2)
LATS2	ENSG00000150457	large tumor suppressor kinase 2(LATS2)
LCMT2	ENSG00000168806	leucine carboxyl methyltransferase 2(LCMT2)
LCN2	ENSG00000148346	lipocalin 2(LCN2)
LCORL	ENSG00000178177	ligand dependent nuclear receptor corepressor like(LCORL)
LDHB	ENSG00000111716	lactate dehydrogenase B(LDHB)
LDLR	ENSG00000130164	low density lipoprotein receptor(LDLR)
LEF1	ENSG00000138795	lymphoid enhancer binding factor 1(LEF1)
LEP	ENSG00000174697	leptin(LEP)
LEPR	ENSG00000116678	leptin receptor(LEPR)
LGALS9	ENSG00000168961	galectin 9(LGALS9)
LGALS9C	ENSG00000171916	galectin 9C(LGALS9C)
LGALS9C	ENSG00000284021	galectin 9C(LGALS9C)
LGR4	ENSG00000205213	leucine rich repeat containing G protein-coupled receptor 4(LGR4)
LHCGR	ENSG00000138039	luteinizing hormone/choriogonadotropin receptor(LHCGR)
LILRA1	ENSG00000104974	leukocyte immunoglobulin like receptor A1(LILRA1)
LILRA1	ENSG00000274935	leukocyte immunoglobulin like receptor A1(LILRA1)
LILRA1	ENSG00000275525	leukocyte immunoglobulin like receptor A1(LILRA1)
LILRA1	ENSG00000277398	leukocyte immunoglobulin like receptor A1(LILRA1)
LILRA2	ENSG00000239998	leukocyte immunoglobulin like receptor A2(LILRA2)
LILRA2	ENSG00000274000	leukocyte immunoglobulin like receptor A2(LILRA2)
LILRA2	ENSG00000275290	leukocyte immunoglobulin like receptor A2(LILRA2)
LILRA2	ENSG00000278634	leukocyte immunoglobulin like receptor A2(LILRA2)
LILRA3	ENSG00000273884	leukocyte immunoglobulin like receptor A3(LILRA3)
LILRA3	ENSG00000275841	leukocyte immunoglobulin like receptor A3(LILRA3)
LILRA3	ENSG00000276175	leukocyte immunoglobulin like receptor A3(LILRA3)
LILRA3	ENSG00000278046	leukocyte immunoglobulin like receptor A3(LILRA3)
LILRA4	ENSG00000239961	leukocyte immunoglobulin like receptor A4(LILRA4)
LILRA4	ENSG00000274185	leukocyte immunoglobulin like receptor A4(LILRA4)
LILRA4	ENSG00000276798	leukocyte immunoglobulin like receptor A4(LILRA4)
LILRA4	ENSG00000277092	leukocyte immunoglobulin like receptor A4(LILRA4)
LILRA5	ENSG00000187116	leukocyte immunoglobulin like receptor A5(LILRA5)
LILRA5	ENSG00000274113	leukocyte immunoglobulin like receptor A5(LILRA5)
LILRA5	ENSG00000274914	leukocyte immunoglobulin like receptor A5(LILRA5)
LILRA5	ENSG00000275404	leukocyte immunoglobulin like receptor A5(LILRA5)
LILRA5	ENSG00000278355	leukocyte immunoglobulin like receptor A5(LILRA5)
LILRB3	ENSG00000204577	leukocyte immunoglobulin like receptor B3(LILRB3)
LILRB3	ENSG00000274587	leukocyte immunoglobulin like receptor B3(LILRB3)
LILRB3	ENSG00000275019	leukocyte immunoglobulin like receptor B3(LILRB3)
LILRB3	ENSG00000277816	leukocyte immunoglobulin like receptor B3(LILRB3)
LILRB4	ENSG00000186818	leukocyte immunoglobulin like receptor B4(LILRB4)
LILRB4	ENSG00000275730	leukocyte immunoglobulin like receptor B4(LILRB4)
LILRB4	ENSG00000276042	leukocyte immunoglobulin like receptor B4(LILRB4)
LILRB4	ENSG00000278279	leukocyte immunoglobulin like receptor B4(LILRB4)
LILRB4	ENSG00000278555	leukocyte immunoglobulin like receptor B4(LILRB4)
LILRB5	ENSG00000105609	leukocyte immunoglobulin like receptor B5(LILRB5)
LILRB5	ENSG00000273991	leukocyte immunoglobulin like receptor B5(LILRB5)
LILRB5	ENSG00000274311	leukocyte immunoglobulin like receptor B5(LILRB5)
LILRB5	ENSG00000277414	leukocyte immunoglobulin like receptor B5(LILRB5)
LILRB5	ENSG00000278437	leukocyte immunoglobulin like receptor B5(LILRB5)
LIMK2	ENSG00000182541	LIM domain kinase 2(LIMK2)
LIN7A	ENSG00000111052	lin-7 homolog A, crumbs cell polarity complex component(LIN7A)
LIN52	ENSG00000205659	lin-52 DREAM MuvB core complex component(LIN52)
LINC00240	ENSG00000224843	long intergenic non-protein coding RNA 240(LINC00240)
LINC00243	ENSG00000214894	long intergenic non-protein coding RNA 243(LINC00243)
LINC00383	ENSG00000235221	long intergenic non-protein coding RNA 383(LINC00383)
LINC00461	ENSG00000245526	long intergenic non-protein coding RNA 461(LINC00461)
LINC00536	ENSG00000249917	long intergenic non-protein coding RNA 536(LINC00536)
LINC00635	ENSG00000241469	long intergenic non-protein coding RNA 635(LINC00635)
LINC00636	ENSG00000240423	long intergenic non-protein coding RNA 636(LINC00636)
LINC00678	ENSG00000254934	long intergenic non-protein coding RNA 678(LINC00678)
LINC00845	ENSG00000227244	long intergenic non-protein coding RNA 845(LINC00845)
LINC01031	ENSG00000232077	long intergenic non-protein coding RNA 1031(LINC01031)
LINC01088	ENSG00000249307	long intergenic non-protein coding RNA 1088(LINC01088)
LINC01098	ENSG00000231171	long intergenic non-protein coding RNA 1098(LINC01098)
LINC01107	ENSG00000225493	long intergenic non-protein coding RNA 1107(LINC01107)
LINC01122	ENSG00000233723	long intergenic non-protein coding RNA 1122(LINC01122)
LINC01128	ENSG00000228794	long intergenic non-protein coding RNA 1128(LINC01128)
LINC01241	ENSG00000236306	long intergenic non-protein coding RNA 1241(LINC01241)
LINC01249	ENSG00000231532	long intergenic non-protein coding RNA 1249(LINC01249)
LINC01267	ENSG00000251576	long intergenic non-protein coding RNA 1267(LINC01267)
LINC01322	ENSG00000244128	long intergenic non-protein coding RNA 1322(LINC01322)
LINC01414	ENSG00000253554	long intergenic non-protein coding RNA 1414(LINC01414)
LINC01416	ENSG00000260930	long intergenic non-protein coding RNA 1416(LINC01416)
LINC01470	ENSG00000249484	long intergenic non-protein coding RNA 1470(LINC01470)
LINC01550	ENSG00000246223	long intergenic non-protein coding RNA 1550(LINC01550)
LINC01572	ENSG00000261008	long intergenic non-protein coding RNA 1572(LINC01572)
LINC01591	ENSG00000254083	long intergenic non-protein coding RNA 1591(LINC01591)
LINC01761	ENSG00000233907	long intergenic non-protein coding RNA 1761(LINC01761)
LINC01776	ENSG00000226053	long intergenic non-protein coding RNA 1776(LINC01776)
LINC01791	ENSG00000267777	long intergenic non-protein coding RNA 1791(LINC01791)
LINC01876	ENSG00000226383	long intergenic non-protein coding RNA 1876(LINC01876)
LINC01910	ENSG00000266278	long intergenic non-protein coding RNA 1910(LINC01910)
LINC01933	ENSG00000254226	long intergenic non-protein coding RNA 1933(LINC01933)
LINC01947	ENSG00000254130	long intergenic non-protein coding RNA 1947(LINC01947)
LINC01950	ENSG00000251027	long intergenic non-protein coding RNA 1950(LINC01950)
LINC01954	ENSG00000271952	long intergenic non-protein coding RNA 1954(LINC01954)
LINC01982	ENSG00000263317	long intergenic non-protein coding RNA 1982(LINC01982)
LINC01985	ENSG00000227260	long intergenic non-protein coding RNA 1985(LINC01985)
LINC01994	ENSG00000241098	long intergenic non-protein coding RNA 1994(LINC01994)
LINC01995	ENSG00000244247	long intergenic non-protein coding RNA 1995(LINC01995)
LINC02008	ENSG00000239440	long intergenic non-protein coding RNA 2008(LINC02008)
LINC02033	ENSG00000279727	long intergenic non-protein coding RNA 2033(LINC02033)
LINC02067	ENSG00000240567	long intergenic non-protein coding RNA 2067(LINC02067)
LINC02180	ENSG00000261749	long intergenic non-protein coding RNA 2180(LINC02180)
LINC02210-CRHR1	ENSG00000263715	LINC02210-CRHR1 readthrough(LINC02210-CRHR1)
LINC02253	ENSG00000259485	long intergenic non-protein coding RNA 2253(LINC02253)
LINC02261	ENSG00000249699	long intergenic non-protein coding RNA 2261(LINC02261)
LINC02263	ENSG00000228358	long intergenic non-protein coding RNA 2263(LINC02263)
LINC02322	ENSG00000258556	long intergenic non-protein coding RNA 2322(LINC02322)
LINC02392	ENSG00000258183	long intergenic non-protein coding RNA 2392(LINC02392)
LINC02406	ENSG00000258144	long intergenic non-protein coding RNA 2406(LINC02406)
LINC02465	ENSG00000249618	long intergenic non-protein coding RNA 2465(LINC02465)
LINC02498	ENSG00000283083	long intergenic non-protein coding RNA 2498(LINC02498)
LINC02534	ENSG00000228777	long intergenic non-protein coding RNA 2534(LINC02534)
LINC02609	ENSG00000233593	long intergenic non-protein coding RNA 2609(LINC02609)
LINC02610	ENSG00000186235	long intergenic non-protein coding RNA 2610(LINC02610)
LINC02641	ENSG00000286344	long intergenic non-protein coding RNA 2641(LINC02641)
LINC02702	ENSG00000237937	long intergenic non-protein coding RNA 2702(LINC02702)
LINC02742	ENSG00000249867	long intergenic non-protein coding RNA 2742(LINC02742)
LINC02790	ENSG00000237435	long intergenic non-protein coding RNA 2790(LINC02790)
LINC02840	ENSG00000224893	long intergenic non-protein coding RNA 2840(LINC02840)
LINGO1	ENSG00000169783	leucine rich repeat and Ig domain containing 1(LINGO1)
LITAF	ENSG00000189067	lipopolysaccharide induced TNF factor(LITAF)
LMAN2	ENSG00000169223	lectin, mannose binding 2(LMAN2)
LMBRD1	ENSG00000168216	LMBR1 domain containing 1(LMBRD1)
LMLN	ENSG00000185621	leishmanolysin like peptidase(LMLN)
LMNB1	ENSG00000113368	lamin B1(LMNB1)
LMO7	ENSG00000136153	LIM domain 7(LMO7)
LMOD1	ENSG00000163431	leiomodin 1(LMOD1)
LMX1B	ENSG00000136944	LIM homeobox transcription factor 1 beta(LMX1B)
LPAR2	ENSG00000064547	lysophosphatidic acid receptor 2(LPAR2)
LPCAT1	ENSG00000153395	lysophosphatidylcholine acyltransferase 1(LPCAT1)
LPCAT1	ENSG00000275079	lysophosphatidylcholine acyltransferase 1(LPCAT1)
LPCAT2	ENSG00000087253	lysophosphatidylcholine acyltransferase 2(LPCAT2)
LPP	ENSG00000145012	LIM domain containing preferred translocation partner in lipoma(LPP)
LRFN3	ENSG00000126243	leucine rich repeat and fibronectin type III domain containing 3(LRFN3)
LRG1	ENSG00000171236	leucine rich alpha-2-glycoprotein 1(LRG1)
LRIG3	ENSG00000139263	leucine rich repeats and immunoglobulin like domains 3(LRIG3)
LRP6	ENSG00000070018	LDL receptor related protein 6(LRP6)
LRP6	ENSG00000281324	LDL receptor related protein 6(LRP6)
LRP10	ENSG00000197324	LDL receptor related protein 10(LRP10)
LRPPRC	ENSG00000138095	leucine rich pentatricopeptide repeat containing(LRPPRC)
LRRC4B	ENSG00000131409	leucine rich repeat containing 4B(LRRC4B)
LRRC8C	ENSG00000171488	leucine rich repeat containing 8 VRAC subunit C(LRRC8C)
LRRC17	ENSG00000128606	leucine rich repeat containing 17(LRRC17)
LRRC37A2	ENSG00000238083	leucine rich repeat containing 37 member A2(LRRC37A2)
LRRC37A2	ENSG00000260075	leucine rich repeat containing 37 member A2(LRRC37A2)
LRRC37A2	ENSG00000274332	leucine rich repeat containing 37 member A2(LRRC37A2)
LRRC37A2	ENSG00000277221	leucine rich repeat containing 37 member A2(LRRC37A2)
LRRC56	ENSG00000161328	leucine rich repeat containing 56(LRRC56)
LRRC56	ENSG00000273831	leucine rich repeat containing 56(LRRC56)
LRRCC1	ENSG00000133739	leucine rich repeat and coiled-coil centrosomal protein 1(LRRCC1)
LRRN2	ENSG00000170382	leucine rich repeat neuronal 2(LRRN2)
LRRTM4	ENSG00000176204	leucine rich repeat transmembrane neuronal 4(LRRTM4)
LRRTM4-AS1	ENSG00000234653	LRRTM4 antisense RNA 1(LRRTM4-AS1)
LSAMP	ENSG00000185565	limbic system associated membrane protein(LSAMP)
LSM1P2	ENSG00000271679	LSM1 homolog, mRNA degradation associated pseudogene 2(LSM1P2)
LTB4R2	ENSG00000213906	leukotriene B4 receptor 2(LTB4R2)
LTB4R2	ENSG00000285203	leukotriene B4 receptor 2(LTB4R2)
LTBR	ENSG00000111321	lymphotoxin beta receptor(LTBR)
LUC7L	ENSG00000007392	LUC7 like(LUC7L)
LYNX1	ENSG00000180155	Ly6/neurotoxin 1(LYNX1)
LYRM7	ENSG00000186687	LYR motif containing 7(LYRM7)
MACROD2	ENSG00000172264	mono-ADP ribosylhydrolase 2(MACROD2)
MAD1L1	ENSG00000002822	mitotic arrest deficient 1 like 1(MAD1L1)
MADCAM1	ENSG00000099866	mucosal vascular addressin cell adhesion molecule 1(MADCAM1)
MADD	ENSG00000110514	MAP kinase activating death domain(MADD)
MAGEA4	ENSG00000147381	MAGE family member A4(MAGEA4)
MAGED1	ENSG00000179222	MAGE family member D1(MAGED1)
MAGED4B	ENSG00000187243	MAGE family member D4B(MAGED4B)
MAGEF1	ENSG00000177383	MAGE family member F1(MAGEF1)
MAGEH1	ENSG00000187601	MAGE family member H1(MAGEH1)
MAGEL2	ENSG00000254585	MAGE family member L2(MAGEL2)
MAGEL2	ENSG00000288188	MAGE family member L2(MAGEL2)
MAGI2	ENSG00000187391	membrane associated guanylate kinase, WW and PDZ domain containing 2(MAGI2)
MAGOH	ENSG00000162385	mago homolog, exon junction complex subunit(MAGOH)
MAK	ENSG00000111837	male germ cell associated kinase(MAK)
MAK16	ENSG00000198042	MAK16 homolog(MAK16)
MAL	ENSG00000172005	mal, T cell differentiation protein(MAL)
MAN1A1	ENSG00000111885	mannosidase alpha class 1A member 1(MAN1A1)
MAN1C1	ENSG00000117643	mannosidase alpha class 1C member 1(MAN1C1)
MANBA	ENSG00000109323	mannosidase beta(MANBA)
MANSC4	ENSG00000205693	MANSC domain containing 4(MANSC4)
MAOA	ENSG00000189221	monoamine oxidase A(MAOA)
MAP1LC3A	ENSG00000101460	microtubule associated protein 1 light chain 3 alpha(MAP1LC3A)
MAP1LC3B	ENSG00000140941	microtubule associated protein 1 light chain 3 beta(MAP1LC3B)
MAP2	ENSG00000078018	microtubule associated protein 2(MAP2)
MAP3K3	ENSG00000198909	mitogen-activated protein kinase kinase kinase 3(MAP3K3)
MAP3K20	ENSG00000091436	mitogen-activated protein kinase kinase kinase 20(MAP3K20)
MAP3K20-AS1	ENSG00000238133	MAP3K20 antisense RNA 1(MAP3K20-AS1)
MAP7	ENSG00000135525	microtubule associated protein 7(MAP7)
MAP9	ENSG00000164114	microtubule associated protein 9(MAP9)
MAPK1	ENSG00000100030	mitogen-activated protein kinase 1(MAPK1)
MAPK8	ENSG00000107643	mitogen-activated protein kinase 8(MAPK8)
MAPK9	ENSG00000050748	mitogen-activated protein kinase 9(MAPK9)
MAPK10	ENSG00000109339	mitogen-activated protein kinase 10(MAPK10)
MAPKAP1	ENSG00000119487	MAPK associated protein 1(MAPKAP1)
MAPKAPK2	ENSG00000162889	MAPK activated protein kinase 2(MAPKAPK2)
MAPT	ENSG00000186868	microtubule associated protein tau(MAPT)
MAPT	ENSG00000276155	microtubule associated protein tau(MAPT)
MAPT	ENSG00000277956	microtubule associated protein tau(MAPT)
MARK2P10	ENSG00000227284	microtubule affinity regulating kinase 2 pseudogene 10(MARK2P10)
MAST3	ENSG00000099308	microtubule associated serine/threonine kinase 3(MAST3)
MAX	ENSG00000125952	MYC associated factor X(MAX)
MBOAT1	ENSG00000172197	membrane bound O-acyltransferase domain containing 1(MBOAT1)
MBOAT2	ENSG00000143797	membrane bound O-acyltransferase domain containing 2(MBOAT2)
MC3R	ENSG00000124089	melanocortin 3 receptor(MC3R)
MCL1	ENSG00000143384	MCL1 apoptosis regulator, BCL2 family member(MCL1)
MCM5	ENSG00000100297	minichromosome maintenance complex component 5(MCM5)
MCTP2	ENSG00000140563	multiple C2 and transmembrane domain containing 2(MCTP2)
MDC1	ENSG00000137337	mediator of DNA damage checkpoint 1(MDC1)
MDC1	ENSG00000206481	mediator of DNA damage checkpoint 1(MDC1)
MDC1	ENSG00000224587	mediator of DNA damage checkpoint 1(MDC1)
MDC1	ENSG00000225589	mediator of DNA damage checkpoint 1(MDC1)
MDC1	ENSG00000228575	mediator of DNA damage checkpoint 1(MDC1)
MDC1	ENSG00000231135	mediator of DNA damage checkpoint 1(MDC1)
MDC1	ENSG00000234012	mediator of DNA damage checkpoint 1(MDC1)
MDC1	ENSG00000237095	mediator of DNA damage checkpoint 1(MDC1)
MDFI	ENSG00000112559	MyoD family inhibitor(MDFI)
MDFIC	ENSG00000135272	MyoD family inhibitor domain containing(MDFIC)
MDGA1	ENSG00000112139	MAM domain containing glycosylphosphatidylinositol anchor 1(MDGA1)
MDM2	ENSG00000135679	MDM2 proto-oncogene(MDM2)
MDS2	ENSG00000197880	myelodysplastic syndrome 2 translocation associated(MDS2)
MEAF6	ENSG00000163875	MYST/Esa1 associated factor 6(MEAF6)
MED9	ENSG00000141026	mediator complex subunit 9(MED9)
MED13L	ENSG00000123066	mediator complex subunit 13L(MED13L)
MED23	ENSG00000112282	mediator complex subunit 23(MED23)
MED25	ENSG00000104973	mediator complex subunit 25(MED25)
MED28	ENSG00000118579	mediator complex subunit 28(MED28)
MEF2C	ENSG00000081189	myocyte enhancer factor 2C(MEF2C)
MEF2C-AS1	ENSG00000248309	MEF2C antisense RNA 1(MEF2C-AS1)
MEIS1	ENSG00000143995	Meis homeobox 1(MEIS1)
MEIS2	ENSG00000134138	Meis homeobox 2(MEIS2)
METTL1	ENSG00000037897	methyltransferase 1, tRNA methylguanosine(METTL1)
METTL3	ENSG00000165819	methyltransferase 3, N6-adenosine-methyltransferase complex catalytic subunit(METTL3)
METTL5	ENSG00000138382	methyltransferase 5, N6-adenosine(METTL5)
METTL8	ENSG00000123600	methyltransferase 8, methylcytidine(METTL8)
METTL15	ENSG00000169519	methyltransferase like 15(METTL15)
MFSD2B	ENSG00000205639	major facilitator superfamily domain containing 2B(MFSD2B)
MFSD8	ENSG00000164073	major facilitator superfamily domain containing 8(MFSD8)
MGAM	ENSG00000257335	maltase-glucoamylase(MGAM)
MGAM	ENSG00000282607	maltase-glucoamylase(MGAM)
MGAT3	ENSG00000128268	beta-1,4-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase(MGAT3)
MGAT5B	ENSG00000167889	alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase B(MGAT5B)
MID1	ENSG00000101871	midline 1(MID1)
MIDN	ENSG00000167470	midnolin(MIDN)
MINK1	ENSG00000141503	misshapen like kinase 1(MINK1)
MIR100HG	ENSG00000255248	mir-100-let-7a-2-mir-125b-1 cluster host gene(MIR100HG)
MIR548AI	ENSG00000265226	microRNA 548ai(MIR548AI)
MIR924HG	ENSG00000267374	MIR924 host gene(MIR924HG)
MIR1281	ENSG00000284015	microRNA 1281(MIR1281)
MIR3064	ENSG00000284564	microRNA 3064(MIR3064)
MIR3681HG	ENSG00000224184	MIR3681 host gene(MIR3681HG)
MIR4455	ENSG00000263458	microRNA 4455(MIR4455)
MIR4704	ENSG00000263561	microRNA 4704(MIR4704)
MIR4751	ENSG00000283842	microRNA 4751(MIR4751)
MIR5007	ENSG00000264387	microRNA 5007(MIR5007)
MIR5047	ENSG00000284368	microRNA 5047(MIR5047)
MIR5572	ENSG00000284059	microRNA 5572(MIR5572)
MIR6883	ENSG00000284117	microRNA 6883(MIR6883)
MIXL1	ENSG00000185155	Mix paired-like homeobox(MIXL1)
MKNK2	ENSG00000099875	MAPK interacting serine/threonine kinase 2(MKNK2)
MLLT3	ENSG00000171843	MLLT3 super elongation complex subunit(MLLT3)
MLLT10	ENSG00000078403	MLLT10 histone lysine methyltransferase DOT1L cofactor(MLLT10)
MMAB	ENSG00000139428	metabolism of cobalamin associated B(MMAB)
MMEL1	ENSG00000142606	membrane metalloendopeptidase like 1(MMEL1)
MMEL1	ENSG00000277131	membrane metalloendopeptidase like 1(MMEL1)
MMP7	ENSG00000137673	matrix metallopeptidase 7(MMP7)
MMP20	ENSG00000137674	matrix metallopeptidase 20(MMP20)
MMP25	ENSG00000008516	matrix metallopeptidase 25(MMP25)
MORC2	ENSG00000133422	MORC family CW-type zinc finger 2(MORC2)
MORC4	ENSG00000133131	MORC family CW-type zinc finger 4(MORC4)
MOSPD2	ENSG00000130150	motile sperm domain containing 2(MOSPD2)
MPHOSPH10	ENSG00000124383	M-phase phosphoprotein 10(MPHOSPH10)
MPPED2	ENSG00000066382	metallophosphoesterase domain containing 2(MPPED2)
MPZL1	ENSG00000197965	myelin protein zero like 1(MPZL1)
MPZL3	ENSG00000160588	myelin protein zero like 3(MPZL3)
MRAS	ENSG00000158186	muscle RAS oncogene homolog(MRAS)
MRPL35	ENSG00000132313	mitochondrial ribosomal protein L35(MRPL35)
MRPL49P1	ENSG00000224296	mitochondrial ribosomal protein L49 pseudogene 1(MRPL49P1)
MRPS17P3	ENSG00000239226	mitochondrial ribosomal protein S17 pseudogene 3(MRPS17P3)
MRPS18C	ENSG00000163319	mitochondrial ribosomal protein S18C(MRPS18C)
MRPS27	ENSG00000113048	mitochondrial ribosomal protein S27(MRPS27)
MRRF	ENSG00000148187	mitochondrial ribosome recycling factor(MRRF)
MRS2	ENSG00000124532	magnesium transporter MRS2(MRS2)
MRTO4	ENSG00000053372	MRT4 homolog, ribosome maturation factor(MRTO4)
MSH3	ENSG00000113318	mutS homolog 3(MSH3)
MSI2	ENSG00000153944	musashi RNA binding protein 2(MSI2)
MSL1	ENSG00000188895	MSL complex subunit 1(MSL1)
MSRA	ENSG00000175806	methionine sulfoxide reductase A(MSRA)
MSRA	ENSG00000285250	methionine sulfoxide reductase A(MSRA)
MSRB2	ENSG00000148450	methionine sulfoxide reductase B2(MSRB2)
MTA1	ENSG00000182979	metastasis associated 1(MTA1)
MTA3	ENSG00000057935	metastasis associated 1 family member 3(MTA3)
MTCH2	ENSG00000109919	mitochondrial carrier 2(MTCH2)
MTCH2	ENSG00000285121	mitochondrial carrier 2(MTCH2)
MTHFR	ENSG00000177000	methylenetetrahydrofolate reductase(MTHFR)
MTHFS	ENSG00000136371	methenyltetrahydrofolate synthetase(MTHFS)
MTMR3	ENSG00000100330	myotubularin related protein 3(MTMR3)
MTND2P9	ENSG00000225901	MT-ND2 pseudogene 9(MTND2P9)
MTNR1A	ENSG00000168412	melatonin receptor 1A(MTNR1A)
MTNR1B	ENSG00000134640	melatonin receptor 1B(MTNR1B)
MTOR	ENSG00000198793	mechanistic target of rapamycin kinase(MTOR)
MTR	ENSG00000116984	5-methyltetrahydrofolate-homocysteine methyltransferase(MTR)
MTRF1L	ENSG00000112031	mitochondrial translation release factor 1 like(MTRF1L)
MTTP	ENSG00000138823	microsomal triglyceride transfer protein(MTTP)
MUC20	ENSG00000176945	mucin 20, cell surface associated(MUC20)
MUC20	ENSG00000274843	mucin 20, cell surface associated(MUC20)
MUC20	ENSG00000275430	mucin 20, cell surface associated(MUC20)
MUC20	ENSG00000275501	mucin 20, cell surface associated(MUC20)
MUC20	ENSG00000276583	mucin 20, cell surface associated(MUC20)
MUC20	ENSG00000277753	mucin 20, cell surface associated(MUC20)
MUC20	ENSG00000278114	mucin 20, cell surface associated(MUC20)
